2025-10-25 20:15:50.870 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:50.999 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:51.001 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:51.178 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:51.180 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:51.336 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:51.338 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:51.954 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0732, 阈值: 0.85, 匹配位置: (7, 12)
2025-10-25 20:15:51.955 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.074 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:52.075 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.217 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:52.219 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.451 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0732, 阈值: 0.85, 匹配位置: (7, 12)
2025-10-25 20:15:52.452 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.591 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0711, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:52.592 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.728 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0833, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:52.730 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:52.858 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0747, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:52.860 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.032 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0665, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:53.033 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.154 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:53.155 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.281 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:53.282 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.475 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:53.476 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.641 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:53.642 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.775 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1364, 阈值: 0.85, 匹配位置: (33, 19)
2025-10-25 20:15:53.777 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:53.912 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.2318, 阈值: 0.85, 匹配位置: (46, 46)
2025-10-25 20:15:53.913 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.042 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1396, 阈值: 0.85, 匹配位置: (33, 19)
2025-10-25 20:15:54.044 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.161 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1618, 阈值: 0.85, 匹配位置: (39, 58)
2025-10-25 20:15:54.163 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.326 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1472, 阈值: 0.85, 匹配位置: (33, 19)
2025-10-25 20:15:54.328 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.476 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1572, 阈值: 0.85, 匹配位置: (33, 20)
2025-10-25 20:15:54.477 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.603 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1291, 阈值: 0.85, 匹配位置: (33, 20)
